code	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	forest	geology	surface
2459	1	1	10	8	1	1	0	15	2	22	73	9	23	15	3	8	2	14	15	0	16	4	9	49	97	0	0	7	3	15.35
2706	15	0	7	2	0	1	0	2	0	82	47	1	21	2	1	10	1	0	0	7	18	4	6	20	101	13	0	7	3	14.75
3294	6	1	0	0	0	0	3	0	5	102	33	2	5	25	2	3	8	0	2	0	0	0	2	8	2	43	18	7	6	18.5
1960	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2
2153	4	1	0	0	1	0	0	6	4	25	44	3	24	1	0	0	0	0	0	2	12	2	3	6	9	0	0	5	6	15
1318	0	0	0	0	0	0	1	0	1	42	8	5	3	0	1	1	0	0	0	3	1	0	0	1	1	5	0	1	3	5
2540	6	0	0	0	0	0	0	3	0	13	20	1	8	12	3	5	0	0	0	12	7	1	6	11	46	0	0	7	3	7.51
375	1	0	0	0	1	0	0	0	0	0	5	3	1	0	0	0	0	0	0	2	3	0	1	0	1	46	4	7	5	4
3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0.16
1595	3	0	0	0	2	3	1	3	1	16	11	19	0	3	3	0	1	0	5	0	1	0	6	6	10	27	8	5	6	10
1500	1	0	0	0	0	0	0	4	5	10	8	7	19	0	1	0	0	0	25	0	1	0	6	2	1	2	0	6	6	5.5
1133	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	3	1	1	5	0.5
3009	2	4	2	0	0	1	0	18	1	10	20	1	7	10	1	2	2	0	2	2	5	0	15	20	57	8	0	7	6	7.25
1675	2	3	0	5	0	2	3	16	0	24	46	6	34	81	3	7	1	0	2	3	10	4	24	63	125	9	0	7	3	21
3428	0	2	1	0	0	0	0	6	0	2	8	1	0	0	1	0	0	0	30	0	0	1	0	10	8	4	7	1	1	3.5
2037	3	0	0	0	0	0	3	0	0	2	27	7	31	4	0	0	0	0	0	1	3	0	1	3	0	19	0	5	6	11
2108	4	0	1	0	4	1	0	0	0	4	14	13	17	0	3	0	0	0	15	2	1	0	8	5	5	1	0	6	6	5.5
361	7	1	0	0	0	0	1	0	0	1	8	5	4	0	0	0	0	0	0	0	5	0	2	3	0	29	21	7	5	8.5
1833	2	0	0	0	0	4	0	38	5	27	5	4	1	0	0	5	3	0	25	1	5	2	7	18	8	2	0	3	6	11.5
244	9	0	0	3	4	1	3	2	5	29	45	30	22	0	1	1	6	0	0	2	23	0	9	2	1	98	5	6	5	22.5
3297	2	2	0	0	0	5	3	15	9	49	29	0	9	24	2	7	2	0	26	0	11	0	4	28	24	22	0	1	6	21
70	4	0	0	0	0	4	0	19	0	3	13	0	5	0	2	1	2	0	2	2	0	3	7	15	6	11	0	6	5	11
1381	8	0	0	0	0	6	1	3	0	128	22	0	16	10	0	1	0	0	0	7	4	0	2	3	14	9	0	5	6	18
3379	3	9	4	0	0	0	0	51	0	12	59	13	21	1	3	4	0	0	33	0	4	1	8	37	71	0	0	1	3	10.31
2658	15	0	1	0	0	1	0	10	0	47	20	2	8	2	0	4	0	0	0	0	9	4	5	20	95	0	0	7	3	11
2203	5	0	0	0	0	0	1	0	4	41	27	1	33	5	0	0	1	0	0	2	10	2	3	4	0	2	0	5	6	20.5
613	2	1	1	5	4	7	12	55	1	24	51	52	10	0	3	0	1	1	308	2	5	0	12	11	22	89	4	1	5	23
1305	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	5	0	0	4	2	0	0	2	6	3.5
73	4	0	0	0	0	0	1	3	0	0	5	0	3	0	2	1	0	0	0	0	1	0	7	1	2	2	0	6	5	6
3233	2	2	1	0	0	0	3	8	4	38	32	5	31	12	0	4	15	0	10	2	8	1	6	21	7	34	26	1	6	20
136	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	6	5	1
2326	7	0	0	1	1	1	0	6	2	7	18	4	24	3	7	1	0	0	0	0	11	3	6	12	26	5	0	7	3	12
443	3	1	0	3	0	1	2	0	3	22	26	16	37	0	0	4	2	0	0	0	5	0	3	6	11	33	8	7	5	17.5
1879	3	1	0	0	1	3	2	5	4	7	19	20	41	1	1	0	9	0	0	1	2	2	8	11	21	12	3	5	6	13
2877	2	0	0	0	0	3	0	11	2	10	29	3	8	0	0	3	2	0	0	1	7	0	3	19	14	4	1	7	6	7.5
494	0	4	0	0	7	0	18	44	0	0	8	8	10	0	0	0	12	0	220	5	1	0	17	6	3	65	40	2	5	15
